datetime,price,tickersymbol,futurecontractcode
2024-01-02 09:30:49.395483,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:53.456475,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:53.456475,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:53.456475,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:59.567168,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:59.567168,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:59.567168,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:05.019463,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:05.019463,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:05.019463,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:06.987227,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:06.987227,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:06.987227,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:11.063823,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:11.063823,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:11.063823,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:15.200855,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:15.200855,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:15.200855,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:23.471733,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:23.471733,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:23.471733,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:41.013956,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:41.013956,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:41.013956,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:43.048715,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:43.048715,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:43.048715,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:55.669801,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:55.669801,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:55.669801,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:31:58.709147,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:31:58.709147,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:31:58.709147,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:32:13.207570,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
